0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
60   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /var/www/blacklight/search_app/jetty/contexts at interval 0
75   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /var/www/blacklight/search_app/jetty/contexts/solr.xml
2899 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
39211 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:154508, oai:dcollections.bc.edu:415821, oai:dcollections.bc.edu:225499, oai:dcollections.bc.edu:205686, oai:dcollections.bc.edu:415736, oai:dcollections.bc.edu:225524, oai:dcollections.bc.edu:164891, oai:dcollections.bc.edu:415389, oai:dcollections.bc.edu:205520, oai:dcollections.bc.edu:226259, ... (255 adds)]} 0 490
39648 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:446034, oai:dcollections.bc.edu:161393, oai:dcollections.bc.edu:512376, oai:dcollections.bc.edu:444856, oai:dcollections.bc.edu:447024, oai:dcollections.bc.edu:302056, oai:dcollections.bc.edu:446611, oai:dcollections.bc.edu:512618, oai:dcollections.bc.edu:161406, oai:dcollections.bc.edu:164359, ... (251 adds)]} 0 423
40138 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:104890, oai:dcollections.bc.edu:85391, oai:dcollections.bc.edu:85464, oai:dcollections.bc.edu:104864, oai:dcollections.bc.edu:112876, oai:dcollections.bc.edu:102129, oai:dcollections.bc.edu:421295, oai:dcollections.bc.edu:102143, oai:dcollections.bc.edu:102136, oai:dcollections.bc.edu:421131, ... (255 adds)]} 0 475
40791 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:153596, oai:dcollections.bc.edu:377869, oai:dcollections.bc.edu:512900, oai:dcollections.bc.edu:441033, oai:dcollections.bc.edu:226249, oai:dcollections.bc.edu:377888, oai:dcollections.bc.edu:441131, oai:dcollections.bc.edu:511832, oai:dcollections.bc.edu:226474, oai:dcollections.bc.edu:439103, ... (255 adds)]} 0 639
41286 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:439587, oai:dcollections.bc.edu:424147, oai:dcollections.bc.edu:385439, oai:dcollections.bc.edu:503674, oai:dcollections.bc.edu:207919, oai:dcollections.bc.edu:207755, oai:dcollections.bc.edu:504783, oai:dcollections.bc.edu:413149, oai:dcollections.bc.edu:207819, oai:dcollections.bc.edu:504903, ... (256 adds)]} 0 481
41862 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:444229, oai:dcollections.bc.edu:161521, oai:dcollections.bc.edu:151606, oai:dcollections.bc.edu:444248, oai:dcollections.bc.edu:161541, oai:dcollections.bc.edu:152150, oai:dcollections.bc.edu:443747, oai:dcollections.bc.edu:162541, oai:dcollections.bc.edu:161629, oai:dcollections.bc.edu:141058, ... (225 adds)]} 0 561
42328 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:131185, oai:dcollections.bc.edu:510006, oai:dcollections.bc.edu:312417, oai:dcollections.bc.edu:381477, oai:dcollections.bc.edu:509806, oai:dcollections.bc.edu:312427, oai:dcollections.bc.edu:441761, oai:dcollections.bc.edu:140970, oai:dcollections.bc.edu:511308, oai:dcollections.bc.edu:510198, ... (256 adds)]} 0 452
42873 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:210208, oai:dcollections.bc.edu:517146, oai:dcollections.bc.edu:312761, oai:dcollections.bc.edu:126802, oai:dcollections.bc.edu:512880, oai:dcollections.bc.edu:210218, oai:dcollections.bc.edu:226204, oai:dcollections.bc.edu:385477, oai:dcollections.bc.edu:512968, oai:dcollections.bc.edu:225244, ... (253 adds)]} 0 529
43454 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:443561, oai:dcollections.bc.edu:152250, oai:dcollections.bc.edu:111813, oai:dcollections.bc.edu:443622, oai:dcollections.bc.edu:152334, oai:dcollections.bc.edu:444105, oai:dcollections.bc.edu:152354, oai:dcollections.bc.edu:444152, oai:dcollections.bc.edu:152364, oai:dcollections.bc.edu:113309, ... (253 adds)]} 0 565
44134 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:516942, oai:dcollections.bc.edu:136608, oai:dcollections.bc.edu:224849, oai:dcollections.bc.edu:136730, oai:dcollections.bc.edu:224859, oai:dcollections.bc.edu:517186, oai:dcollections.bc.edu:226557, oai:dcollections.bc.edu:517234, oai:dcollections.bc.edu:136682, oai:dcollections.bc.edu:403816, ... (258 adds)]} 0 666
